filename,label,type
sequence_label\753_10_sequence.npy,0,augmented
sequence_label\753_11_sequence.npy,0,augmented
sequence_label\753_12_sequence.npy,0,augmented
sequence_label\753_13_sequence.npy,0,augmented
sequence_label\753_14_sequence.npy,0,augmented
sequence_label\753_15_sequence.npy,0,augmented
sequence_label\753_16_sequence.npy,0,augmented
sequence_label\753_17_sequence.npy,0,augmented
sequence_label\753_18_sequence.npy,0,augmented
sequence_label\753_19_sequence.npy,0,augmented
sequence_label\753_1_sequence.npy,0,origin
sequence_label\753_20_sequence.npy,0,augmented
sequence_label\753_21_sequence.npy,0,augmented
sequence_label\753_22_sequence.npy,0,augmented
sequence_label\753_23_sequence.npy,0,augmented
sequence_label\753_24_sequence.npy,0,augmented
sequence_label\753_25_sequence.npy,0,augmented
sequence_label\753_26_sequence.npy,0,augmented
sequence_label\753_27_sequence.npy,0,augmented
sequence_label\753_28_sequence.npy,0,augmented
sequence_label\753_29_sequence.npy,0,augmented
sequence_label\753_2_sequence.npy,0,augmented
sequence_label\753_30_sequence.npy,0,augmented
sequence_label\753_31_sequence.npy,0,augmented
sequence_label\753_32_sequence.npy,0,augmented
sequence_label\753_33_sequence.npy,0,augmented
sequence_label\753_34_sequence.npy,0,augmented
sequence_label\753_35_sequence.npy,0,augmented
sequence_label\753_36_sequence.npy,0,augmented
sequence_label\753_37_sequence.npy,0,augmented
sequence_label\753_38_sequence.npy,0,augmented
sequence_label\753_39_sequence.npy,0,augmented
sequence_label\753_3_sequence.npy,0,augmented
sequence_label\753_40_sequence.npy,0,augmented
sequence_label\753_41_sequence.npy,0,augmented
sequence_label\753_42_sequence.npy,0,augmented
sequence_label\753_43_sequence.npy,0,augmented
sequence_label\753_44_sequence.npy,0,augmented
sequence_label\753_45_sequence.npy,0,augmented
sequence_label\753_46_sequence.npy,0,augmented
sequence_label\753_47_sequence.npy,0,augmented
sequence_label\753_48_sequence.npy,0,augmented
sequence_label\753_49_sequence.npy,0,augmented
sequence_label\753_4_sequence.npy,0,augmented
sequence_label\753_50_sequence.npy,0,augmented
sequence_label\753_5_sequence.npy,0,augmented
sequence_label\753_6_sequence.npy,0,augmented
sequence_label\753_7_sequence.npy,0,augmented
sequence_label\753_8_sequence.npy,0,augmented
sequence_label\753_9_sequence.npy,0,augmented
sequence_label\753_origin_sequence.npy,0,origin
sequence_label\753_rotated_sequence.npy,0,rotated
sequence_label\753_scaled_sequence.npy,0,scaled
sequence_label\739_10_sequence.npy,1,augmented
sequence_label\739_11_sequence.npy,1,augmented
